Sample,ABS,Diet,Conc,Plate 
1008_20,0.062700003,0.2,0.355042002,2
1008_20,0.079599999,0.2,0.61036998,2
1477_20,0.0594,0.2,0.30518499,2
1477_20,0.080300003,0.2,0.620945765,2
1491_20,0.0616,0.2,0.33842296,2
1491_20,0.0656,0.2,0.398855644,2
7791_20,0.086999997,0.2,0.722170405,2
7791_20,0.071699999,0.2,0.491015455,2
1007_20,0.134299994,0.2,1.436786711,2
1007_20,0.076399997,0.2,0.562023811,2
1008_20,0.054900002,0.2,0.237198263,2
1008_20,0.089699998,0.2,0.762962475,2
1477_20,0.082599998,0.2,0.655694465,2
1477_20,0.0722,0.2,0.498569555,2
1491_20,0.068099998,0.2,0.436626029,2
1491_20,0.0691,0.2,0.451734228,2
7791_20,0.078400001,0.2,0.592240209,2
7791_20,0.078500003,0.2,0.593751051,2
