Sample ,Blank,P abs 1 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,Avg,Normalised T,Conc T ,T/P,RUN ID 
91A.3.1,0.051899999,0.0845,0.082500003,0.083500002,0.030283335,0.068896965,0.037599999,0.105400003,0.092399999,0.098900001,0.054883335,0.029002124,0.420949226,RUN 9 
91A.3.2,0.050099999,0.083400004,0.081900001,0.082650002,0.029433335,0.064431267,0.038199998,0.101800002,0.102899998,0.10235,0.058333334,0.032964417,0.51162142,RUN 9 
91A.3.3,0.0581,0.086900003,0.085900001,0.086400002,0.033183336,0.084132888,0.0493,0.094400004,0.093199998,0.093800001,0.049783334,0.02314482,0.275098363,RUN 9 
91A.4.1,0.045699999,0.083700001,0.071999997,0.077849999,0.024633332,0.039213178,0.046500001,0.123999998,0.123999998,0.123999998,0.079983331,0.057829242,1.474739996,RUN 9 
91A.4.2,0.061500002,0.082900003,0.0814,0.082150001,0.028933334,0.06180438,0.0449,0.158299997,0.126699999,0.142499998,0.098483332,0.079076325,1.279461513,RUN 9 
91A.4.3,0.046599999,0.092200004,0.085199997,0.0887,0.035483334,0.096216537,0.0436,0.1008,0.093000002,0.096900001,0.052883334,0.026705142,0.277552516,RUN 9 
91A.5.1,0.078500003,0.088500001,0.091499999,0.09,0.036783333,0.10304643,0.053399999,0.122400001,0.111699998,0.11705,0.073033333,0.049847232,0.483735654,RUN 9 
91A.6.1,0.0458,0.088600002,0.091600001,0.090100002,0.036883335,0.103571816,0.037,0.121699996,0.135499999,0.128599998,0.084583331,0.0631123,0.609357863,RUN 9 
91A.6.2,0.061900001,0.0814,0.081699997,0.081549998,0.028333332,0.058652106,0.051800001,0.147300005,0.129600003,0.138450004,0.094433337,0.074424944,1.268921927,RUN 9 
91A.6.3,0.044199999,0.051600002,0.052099999,0.05185,-0.001366666,-0.097384711,0.044500001,0.0572,0.054099999,0.05565,0.011633333,-0.020670111,0.212252113,RUN 9 
91B.3.1,0.046300001,0.081,0.079599999,0.0803,0.031441666,0.071495121,0.039999999,0.113200001,0.094300002,0.103750002,0.051266668,0.040553167,0.567215866,RUN10
91B.3.2,0.045899998,0.097499996,0.0977,0.097599998,0.048741664,0.154250286,0.043900002,0.135900006,0.172399998,0.154150002,0.101666668,0.098094868,0.635946099,RUN10
91B.3.3,0.045000002,0.082900003,0.084100001,0.083500002,0.034641668,0.086802446,0.044,0.189099997,0.1998,0.194449998,0.141966665,0.14410539,1.660153577,RUN10
91B.4.1,0.0458,0.092799999,0.092500001,0.09265,0.043791666,0.130571792,0.047400001,0.147599995,0.134800002,0.141199999,0.088716665,0.083309844,0.638038603,RUN10
91B.4.2,0.059700001,0.089599997,0.090000004,0.0898,0.040941667,0.116938715,0.055100001,0.125499994,0.128299996,0.126899995,0.074416661,0.066983524,0.572808787,RUN10
91B.4.3,0.045000002,0.078400001,0.077,0.0777,0.028841667,0.059057931,0.050999999,0.151500002,0.136800006,0.144150004,0.09166667,0.086677866,1.467675296,RUN10
91B.5.1,0.0449,0.074100003,0.073399998,0.07375,0.024891667,0.040162965,0.065200001,0.141399994,0.142199993,0.141799994,0.08931666,0.083994859,2.091351058,RUN10
91B.5.2,0.044799998,0.083700001,0.086199999,0.08495,0.036091666,0.093738565,0.0537,0.141499996,0.118699998,0.130099997,0.077616663,0.070636967,0.753552895,RUN10
91B.5.3,0.068999998,0.087300003,0.083700001,0.085500002,0.036641668,0.096369519,0.069700003,0.196600005,0.182799995,0.1897,0.137216666,0.138682315,1.439068252,RUN10
91B.6.1,0.048300002,0.083300002,0.084700003,0.084000003,0.035141669,0.089194218,0.047200002,0.123300001,0.169599995,0.146449998,0.093966664,0.08930377,1.00122824,RUN10
91B.6.2,0.045299999,0.073700003,0.0832,0.078450002,0.029591668,0.06264559,0.050999999,0.1303,0.147100002,0.138700001,0.086216667,0.080455595,1.284297833,RUN10
91B.6.3,0.046300001,0.079300001,0.080399998,0.079849999,0.030991666,0.069342529,0.0616,0.158199996,0.149800003,0.153999999,0.101516665,0.09792361,1.412172461,RUN10
91C.3.1,0.0614,0.082999997,0.082099997,0.082549997,0.027999997,0.054482086,0.044100001,0.1021,0.110799998,0.106449999,0.059341665,0.028446669,0.522128852,RUN 11
91C.3.2,0.050999999,0.068800002,0.069399998,0.0691,0.01455,0.001992368,0.046300001,0.139400005,0.113600001,0.126500003,0.079391669,0.051762417,25.98034825,RUN 11
91C.4.1,0.052000001,0.078699999,0.078199998,0.078449998,0.023899998,0.038481504,0.037900001,0.1699,0.114500001,0.142200001,0.095091666,0.070019629,1.81956579,RUN 11
91C.4.2,0.0623,0.071500003,0.075000003,0.073250003,0.018700003,0.018188097,0.050500002,0.088699996,0.102300003,0.0955,0.048391666,0.015713135,0.863924082,RUN 11
91C.4.3,0.0535,0.074500002,0.067100003,0.070800003,0.016250003,0.008626768,0.066100001,0.104699999,0.105300002,0.105,0.057891666,0.026760495,3.102030069,RUN 11
91C.5.1,0.053399999,0.081299998,0.080300003,0.080800001,0.02625,0.047652583,0.0403,0.139200002,0.115699999,0.12745,0.080341666,0.05286715,1.109428848,RUN 11
91C.5.2,0.063500002,0.0704,0.069200002,0.069800001,0.01525,0.004724178,0.038899999,0.1259,0.126699999,0.1263,0.079191665,0.051529837,10.90768253,RUN 11
91C.5.3,0.0539,0.078500003,0.080300003,0.079400003,0.024850003,0.042188977,0.065700002,0.150700003,0.156000003,0.153350003,0.106241669,0.082985743,1.967000618,RUN 11
91C.6.2,0.049600001,0.088600002,0.092500001,0.090550002,0.036000002,0.085702764,0.036600001,0.1096,0.129700005,0.119650003,0.072541668,0.043796689,0.511030062,RUN 11
91D.3.1,0.048900001,0.070600003,0.069399998,0.07,0.018766667,0.012258581,0.037700001,0.114,0.104099996,0.109049998,0.069658331,0.034617392,2.823931335,RUN 12
91D.3.2,0.054000001,0.068099998,0.066699997,0.067399997,0.016166664,0.002332285,0.037700001,0.081900001,0.083899997,0.082899999,0.043508332,0.007578767,3.249503401,RUN 12
91D.3.3,0.047899999,0.067599997,0.0669,0.067249998,0.016016665,0.001759619,0.037500001,0.081900001,0.085199997,0.083549999,0.044158332,0.008250855,4.689001167,RUN 12
91D.4.1,0.048300002,0.074900001,0.075199999,0.07505,0.023816667,0.031538481,0.0383,0.130099997,0.103,0.116549999,0.077158332,0.042372256,1.343509754,RUN 12
91D.4.2,0.055500001,0.084200002,0.083999999,0.084100001,0.032866667,0.06608959,0.044100001,0.101499997,0.098700002,0.100099999,0.060708332,0.025363256,0.383770809,RUN 12
91D.4.3,0.052900001,0.080200002,0.078500003,0.079350002,0.028116669,0.047955037,0.042800002,0.1017,0.1259,0.1138,0.074408333,0.039528808,0.824288975,RUN 12
91D.5.1,0.049199998,0.071199998,0.074100003,0.07265,0.021416667,0.022375757,0.0429,0.104900002,0.105899997,0.1054,0.066008333,0.03084336,1.378427532,RUN 12
91D.5.2,0.055799998,0.072899997,0.073600002,0.073249999,0.022016666,0.024666435,0.042399999,0.120399997,0.102399997,0.111399997,0.07200833,0.037047248,1.501929603,RUN 12
91D.5.3,0.054000001,0.074900001,0.074199997,0.074549999,0.023316666,0.029629576,0.037099998,0.108000003,0.129500002,0.118750002,0.079358335,0.04464702,1.506839675,RUN 12
91D.6.1,0.0526,0.072099999,0.073200002,0.07265,0.021416667,0.022375757,0.037099998,0.128600001,0.130500004,0.129550003,0.090158336,0.055814025,2.49439714,RUN 12
91D.6.2,0.046799999,0.076099999,0.097800002,0.08695,0.035716667,0.076970325,0.0372,0.177300006,0.172800004,0.175050005,0.135658338,0.102860203,1.336361804,RUN 12
91D.6.3,0.048900001,0.082800001,0.082800001,0.082800001,0.031566667,0.061126449,0.037900001,0.112199999,0.1087,0.11045,0.071058333,0.036064968,0.59000594,RUN 12
