Sample ,Blank,P abs 1 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,Avg,Normalised T,Conc T ,T/P,RUN.ID 
77A.3.1,0.0429,0.084399998,0.087099999,0.085749999,0.042849999,0.090701213,0.0528,0.199900001,0.202000007,0.200950004,0.148150004,0.108855535,1.200155232,RUN 3 
77A.3.2,0.044500001,0.084799998,0.0854,0.085099999,0.040599998,0.087398368,0.049800001,0.142399997,0.189899996,0.166149996,0.116349995,0.073796087,0.844364589,RUN 3 
77A.4.1,0.0429,0.342599988,0.080899999,0.211749993,0.168849993,0.730945088,0.043200001,0.1461,0.144199997,0.145149998,0.101949997,0.052639531,0.072015712,RUN 3 
77A.4.2,0.044100001,0.093800001,0.086599998,0.0902,0.046099998,0.113313006,0.044500001,0.222900003,0.195800006,0.209350005,0.164850004,0.117318159,1.03534593,RUN 3 
77A.5.1,0.043099999,0.087700002,0.465600014,0.276650008,0.233550008,1.060721584,0.0462,0.149700001,0.153999999,0.15185,0.10565,0.059389482,0.055989699,RUN 3 
77A.5.2,0.0451,0.0876,0.085299999,0.086449999,0.04135,0.094258127,0.045200001,0.142900005,0.140599996,0.14175,0.096549999,0.049214185,0.522121403,RUN 4
77A.6.1,0.046500001,0.088600002,0.090400003,0.089500003,0.089500003,0.09073902,0.037900001,0.096100003,0.116800003,0.106450003,0.106450003,0.036965838,0.40738635,RUN 4
77A.6.2,0.0469,0.095600002,0.094099998,0.09485,0.09485,0.115762395,0.0392,0.1206,0.1096,0.1151,0.1151,0.046468197,0.401410125,RUN 4
77B.3.1,0.045899998,0.048799999,0.044799998,0.046799999,0.046799999,-0.108980361,0.037900001,0.093000002,0.104900002,0.098950002,0.098950002,0.028726796,-0.263596079,RUN 4
77B.4.1,0.0449,0.094700001,0.095399998,0.09505,0.09505,0.116697847,0.050999999,0.127499998,0.148100004,0.137800001,0.137800001,0.071405032,0.611879601,RUN 4
77B.4.2,0.046599999,0.092699997,0.094899997,0.093799997,0.093799997,0.110851249,0.082699999,0.115800001,0.149299994,0.132549997,0.132549997,0.065637699,0.592124125,RUN 4
77B.5.1,0.048799999,0.067500003,0.069399998,0.06845,0.06845,-0.007717492,0.050900001,0.103600003,0.133100003,0.118350003,0.118350003,0.050038452,-6.483770873,RUN 4
77B.5.2,0.045000002,0.089500003,0.091399997,0.09045,0.09045,0.095182414,0.065700002,0.112599999,0.121200003,0.116900001,0.116900001,0.048445568,0.508976043,RUN 4
77B.6.1,0.046,0.092100002,0.090499997,0.0913,0.0913,0.099158089,0.049899999,0.122000001,0.121699996,0.121849999,0.121849999,0.053883334,0.543408352,RUN 4
77B.6.2,0.056400001,0.093999997,0.090899996,0.092449997,0.092449997,0.104536935,0.0682,0.118900001,0.138400003,0.128650002,0.128650002,0.061353402,0.586906461,RUN 4
77C.3.1,0.096900001,0.072499998,0.072099999,0.072299998,0.072299998,0.010289982,0.063699998,0.1043,0.1153,0.1098,0.1098,0.040645941,3.950049547,RUN 4
77C.3.2,0.046,0.075400002,0.075300001,0.075350001,0.075350001,0.024555666,0.067000002,0.127800003,0.127599999,0.127700001,0.127700001,0.060309789,2.456043683,RUN 4
77C.4.1,0.043299999,0.092200004,0.091600001,0.091900002,0.091900002,0.065690551,0.0438,0.1118,0.111500002,0.111650001,0.111650001,0.04302352,0.654942295,RUN 5 
