Sample ,Genotype,Diet,Blank,P abs 1 ,P abs 2 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,T abs 3,Avg,Normalised T,Conc T ,T/P,Vial_ID
07HSc ,1007,20,0.067699999,0.160799995,0.151700005,0.157199994,0.156566665,0.088866666,0.458797319,0.052200001,0.296200007,0.303200006,0.307000011,1.208533367,1.156333366,1.344667855,2.930853777,8
07HSd,1007,20,0.090300001,0.179100007,0.187399998,0.190699995,0.185733333,0.095433332,0.628216483,0.061000001,0.3389,0.333999991,0.387499988,1.413866639,1.352866638,1.584165068,2.521686568,9
91sc,1491,5,0.071000002,0.199399993,0.190500006,0.198300004,0.196066668,0.125066665,0.688239275,0.056600001,0.309599996,0.330900013,0.3565,1.329333345,1.272733344,1.485566881,2.158503496,8
91sd,1491,5,0.041299999,0.059999999,0.061900001,0.067100003,0.063000001,0.021700002,-0.084699305,0.039700001,0.059599999,0.059599999,0.065200001,0.245866666,0.206166665,0.221829904,-2.619028629,9
91HSc ,1491,20,0.064900003,0.178399995,0.179000005,0.178599998,0.178666666,0.113766663,0.58716864,0.057700001,0.277500004,0.286500007,0.272399992,1.115200003,1.057500002,1.235805419,2.104685662,8
91HSd,1491,20,0.0429,0.0601,0.060400002,0.066,0.062166667,0.019266667,-0.089539855,0.040399998,0.059599999,0.064800002,0.061099999,0.247333333,0.206933334,0.223540599,-2.496548603,9
08sc,1008,5,0.061000001,0.209399998,0.207300007,0.188199997,0.201633334,0.140633333,0.72057413,0.0495,0.279900014,0.254099995,0.269699991,1.0716,1.0221,1.184951122,1.644454156,8
08sd,1008,5,0.057300001,0.188099995,0.189500004,0.213200003,0.196933334,0.139633333,0.693273443,0.047200002,0.297600001,0.273900002,0.299100012,1.16080002,1.113600018,1.288992498,1.8592844,9
08HSc ,1008,20,0.057599999,0.141599998,0.150199994,0.143099993,0.144966662,0.087366663,0.391416886,0.0436,0.223299995,0.212300003,0.248500004,0.912133336,0.868533336,0.998951937,2.552143179,8
08HSd,1008,20,0.066399999,0.169200003,0.169300005,0.162200004,0.166900004,0.100500005,0.51882014,0.052700002,0.30219999,0.268000007,0.273900002,1.125466665,1.072766663,1.247780277,2.405034388,9
7791sc,7791,5,0.065899998,0.234599993,0.256999999,0.238600001,0.243399998,0.1775,0.963182337,0.057599999,0.356000006,0.358599991,0.402500004,1.489466667,1.431866668,1.672343646,1.736269012,8
7791sd,7791,5,0.0735,0.234400004,0.237200007,0.238100007,0.236566673,0.163066673,0.9234899,0.055799998,0.336899996,0.301099986,0.316199988,1.272266626,1.216466628,1.419005238,1.536568228,9
7791HSc ,7791,20,0.079800002,0.201000005,0.194000006,0.185000002,0.193333338,0.113533335,0.6723623,0.060800001,0.364199996,0.345099986,0.411599994,1.4945333,1.433733299,1.67825328,2.496054999,8
7791HSd,7791,20,0.073700003,0.204099998,0.208199993,0.191,0.201099997,0.127399993,0.717476156,0.0594,0.29339999,0.293300003,0.340999991,1.236933311,1.177533311,1.377793064,1.920332896,9
