REPLICATE,Pos,Name,Gene ,Cp
92Re,G2,Sample 74,Housekeeping,19.47
92Re,G3,Sample 75,Housekeeping,19.63
92Ca,B1,Sample 13,BCOP2,28.17
92Ca,B2,Sample 14,BCOP2,26.76
92Ca,B3,Sample 15,BCOP2,27.11
92Cb,B4,Sample 16,BCOP2,26.94
92Cb,B5,Sample 17,BCOP2,27.18
92Cb,B6,Sample 18,BCOP2,27.79
92Cc,B7,Sample 19,BCOP2,26.46
92Cc,B8,Sample 20,BCOP2,26.22
92Cc,B9,Sample 21,BCOP2,25.65
92Cd,B10,Sample 22,BCOP2,25.84
92Cd,B11,Sample 23,BCOP2,25.91
92Cd,B12,Sample 24,BCOP2,26.61
92Ce,D1,Sample 37,BCOP2,26.63
92Ce,D2,Sample 38,BCOP2,26.64
92Ce,D3,Sample 39,BCOP2,26.44
92Ra,F1,Sample 61,BCOP2,27.51
92Ra,F2,Sample 62,BCOP2,26.47
92Ra,F3,Sample 63,BCOP2,25.09
92Rb,F4,Sample 64,BCOP2,26.19
92Rb,F5,Sample 65,BCOP2,26.04
92Rb,F6,Sample 66,BCOP2,26.07
92Rc,F7,Sample 67,BCOP2,26.02
92Rc,F8,Sample 68,BCOP2,26.12
92Rc,F9,Sample 69,BCOP2,25.95
92Rd,F10,Sample 70,BCOP2,26.2
92Rd,F11,Sample 71,BCOP2,26.18
92Rd,F12,Sample 72,BCOP2,26.59
92Re,H1,Sample 85,BCOP2,
92Re,H2,Sample 86,BCOP2,28.09
92Re,H3,Sample 87,BCOP2,26.74
